Field Down,Resistance Down,Hall Resistance Down
4.932057968750001,830.382379150391,-38.3664100646973
4.8188622265625005,830.402044677734,-38.3671085357666
4.7082007421875005,830.420007324219,-38.3754856109619
4.5952501562500006,830.445935058594,-38.3851093292236
4.4848316015625,830.4716796875,-38.3958614349365
4.3746242578125,830.479571533203,-38.4049480438232
4.265110234374999,830.507635498047,-38.4171627044678
4.15084453125,830.5244140625,-38.4204086303711
4.039508437499999,830.548608398438,-38.422191619873
3.926795703125,830.564672851562,-38.4371021270752
3.8160713671874995,830.608978271484,-38.4384265899658
3.702997265625,830.622021484375,-38.4585586547852
3.5920915234375004,830.642108154297,-38.4501510620117
3.4812696875,830.684710693359,-38.4711589813232
3.36771171875,830.723937988281,-38.4789394378662
3.25351650390625,830.755944824219,-38.4888805389404
3.1413689648437497,830.769134521484,-38.4895179748535
3.0315384765625,830.816772460938,-38.502299118042
2.918728984375,830.869378662109,-38.5139457702637
2.80494681640625,830.908856201172,-38.5245540618896
2.69219203125,830.973852539062,-38.5328773498535
2.579995625,830.999267578125,-38.5468029022217
2.46572984375,831.074066162109,-38.5574657440186
2.35279083984375,831.117559814453,-38.5703948974609
2.23945275390625,831.185626220703,-38.5855152130127
2.1265619921875,831.261456298828,-38.590645980835
2.01654828125,831.327093505859,-38.6103298187256
1.9031355859374999,831.398333740234,-38.6212364196777
1.7919434765625,831.478283691406,-38.619063949585
1.6772988671874998,831.554943847656,-38.6387420654297
1.56280467773438,831.646490478516,-38.6591781616211
1.4529312109374999,831.750354003906,-38.6731098175049
1.34042012695313,831.834301757812,-38.6776142120361
1.22731813476562,831.949517822266,-38.6962005615234
1.1163535058593799,832.107196044922,-38.7019161224365
1.00435680664062,832.231402587891,-38.7252513885498
0.893210537109375,832.415246582031,-38.7554126739502
0.779566547851563,832.652221679688,-38.7768623352051
0.667128779296875,832.869134521484,-38.8037899017334
0.555370068359375,833.203692626953,-38.8437236785889
0.44299952148437494,833.614678955078,-38.8875240325928
0.3289095703125,834.083843994141,-38.9392478942871
0.215319949951172,834.598693847656,-38.9935138702393
0.103949833374023,835.102996826172,-39.0455669403076
-0.00968825941085815,835.652172851562,-39.1009780883789
-0.12365753173828099,836.133166503906,-39.1826728820801
-0.23717332275390599,835.958129882813,-39.446573638916
-0.350968408203125,834.826788330078,-39.7951877593994
-0.464890234375,833.86494140625,-39.9541015625
-0.577675390625,833.227124023437,-40.0306526184082
-0.691384912109375,832.817053222656,-40.0586654663086
-0.803051298828125,832.560809326172,-40.081649017334
-0.91699375,832.315753173828,-40.0941066741943
-1.02940470703125,832.133825683594,-40.0957836151123
-1.1433533398437499,831.964013671875,-40.0979194641113
-1.25606453125,831.845513916016,-40.1068279266357
-1.3727806640625,831.733599853516,-40.1050678253174
-1.48637080078125,831.642138671875,-40.1114753723145
-1.600091484375,831.546319580078,-40.1116493225098
-1.71190705078125,831.443127441406,-40.1253890991211
-1.8260084374999999,831.369812011719,-40.1297866821289
-1.93762021484375,831.293682861328,-40.126314163208
-2.0515277734375,831.21005859375,-40.1433376312256
-2.1630222265625,831.144677734375,-40.1439990997314
-2.27689669921875,831.087487792969,-40.1406524658203
-2.38998974609375,831.016912841797,-40.1459384918213
-2.5043972265625003,830.94599609375,-40.1499588012695
-2.61549572265625,830.906750488281,-40.1592617034912
-2.72945203125,830.841326904297,-40.1603359222412
-2.84324568359375,830.786303710938,-40.1766555786133
-2.9568916796875,830.730242919922,-40.1815406799316
-3.07072373046875,830.694104003906,-40.1834140777588
-3.1836235546875,830.664794921875,-40.1898288726807
-3.2973671875,830.636895751953,-40.1918697357178
-3.4087660546875,830.5982421875,-40.199201965332
-3.5222760937500004,830.561596679687,-40.2032466888428
-3.6359602343749997,830.531781005859,-40.2076267242432
-3.74886234375,830.501281738281,-40.2137001037598
-3.8626736718749997,830.485321044922,-40.2207534790039
-3.9756728125,830.441491699219,-40.2312786102295
-4.0887732421875,830.437683105469,-40.2347995758057
-4.2022665625,830.385845947266,-40.2438499450684
-4.315758671875,830.365484619141,-40.2471672058105
-4.429422031250001,830.366790771484,-40.255472946167
-4.5420066015625,830.343078613281,-40.2656154632568
-4.6556041796875,830.330792236328,-40.2732593536377
-4.76859796875,830.277624511719,-40.2836589813232
-4.8820419921875,830.272406005859,-40.2731456756592
-4.9905140625,830.256640625,-40.2802165985107
-5.000023046875,830.255511474609,-40.2913970947266
