Omega,Intensity
16.7288,16.4772727272727
16.7338,14.7727272727273
16.7388,15.9090909090909
16.7438,18.75
16.7488,13.6363636363636
16.7538,20.4545454545455
16.7588,20.4545454545455
16.7638,17.6136363636364
16.7688,16.4772727272727
16.7738,10.7954545454545
16.7788,14.7727272727273
16.7838,14.2045454545455
16.7888,14.2045454545455
16.7938,15.9090909090909
16.7988,16.4772727272727
16.8038,17.6136363636364
16.8088,11.3636363636364
16.8138,18.1818181818182
16.8188,15.3409090909091
16.8238,15.9090909090909
16.8288,13.6363636363636
16.8338,14.7727272727273
16.8388,19.8863636363636
16.8438,12.5
16.8488,23.2954545454545
16.8538,11.9318181818182
16.8588,17.6136363636364
16.8638,14.7727272727273
16.8688,22.1590909090909
16.8738,18.75
16.8788,18.1818181818182
16.8838,21.0227272727273
16.8888,18.1818181818182
16.8938,23.2954545454545
16.8988,23.8636363636364
16.9038,27.2727272727273
16.9088,32.9545454545455
16.9138,41.4772727272727
16.9188,41.4772727272727
16.9238,40.3409090909091
16.9288,40.3409090909091
16.9338,40.3409090909091
16.9388,40.3409090909091
16.9438,47.1590909090909
16.9488,51.1363636363636
16.9538,49.4318181818182
16.9588,44.8863636363636
16.9638,44.8863636363636
16.9688,40.9090909090909
16.9738,37.5
16.9788,38.6363636363636
16.9838,26.7045454545455
16.9888,34.6590909090909
16.9938,31.25
16.9988,24.4318181818182
17.0038,27.2727272727273
17.0088,30.1136363636364
17.0138,26.7045454545455
17.0188,22.1590909090909
17.0238,28.9772727272727
17.0288,18.75
17.0338,26.7045454545455
17.0388,20.4545454545455
17.0438,17.6136363636364
17.0488,27.2727272727273
17.0538,12.5
17.0588,17.0454545454545
17.0638,13.6363636363636
17.0688,19.3181818181818
17.0738,23.8636363636364
17.0788,12.5
17.0838,17.6136363636364
17.0888,13.6363636363636
17.0938,13.6363636363636
17.0988,13.6363636363636
17.1038,15.3409090909091
17.1088,15.9090909090909
17.1138,17.0454545454545
17.1188,14.7727272727273
17.1238,10.2272727272727
17.1288,17.6136363636364
17.1338,14.7727272727273
17.1388,20.4545454545455
17.1438,10.2272727272727
17.1488,15.3409090909091
17.1538,19.3181818181818
17.1588,14.7727272727273
17.1638,15.9090909090909
17.1688,15.9090909090909
17.1738,9.65909090909091
17.1788,15.9090909090909
17.1838,11.9318181818182
17.1888,17.0454545454545
17.1938,14.2045454545455
17.1988,17.0454545454545
17.2038,14.2045454545455
17.2088,11.9318181818182
17.2138,11.3636363636364
17.2188,13.6363636363636
